,year,round,grid,position,points,quali_position,q1_time,q2_time,q3_time,driver_avg_finish,team_avg_finish,driver_avg_quali_pos,team_avg_quali_pos,driver_ALB,driver_ALO,driver_ANT,driver_BEA,driver_BOR,driver_BOT,driver_COL,driver_DEV,driver_DOO,driver_FIT,driver_GAS,driver_GIO,driver_GRO,driver_HAD,driver_HAM,driver_HUL,driver_KUB,driver_KVY,driver_LAT,driver_LAW,driver_LEC,driver_LIN,driver_MAG,driver_MAZ,driver_MSC,driver_NOR,driver_OCO,driver_PER,driver_PIA,driver_RAI,driver_RIC,driver_RUS,driver_SAI,driver_SAR,driver_STR,driver_TSU,driver_VER,driver_VET,driver_ZHO,team_Alfa Romeo Racing,team_AlphaTauri,team_Alpine,team_Aston Martin,team_Audi,team_Cadillac,team_Ferrari,team_Haas F1 Team,team_Kick Sauber,team_McLaren,team_Mercedes,team_RB,team_Racing Bulls,team_Racing Point,team_Red Bull Racing,team_Renault,team_Williams,circuit_Abu Dhabi Grand Prix,circuit_Australian Grand Prix,circuit_Austrian Grand Prix,circuit_Azerbaijan Grand Prix,circuit_Bahrain Grand Prix,circuit_Belgian Grand Prix,circuit_British Grand Prix,circuit_Canadian Grand Prix,circuit_Chinese Grand Prix,circuit_Dutch Grand Prix,circuit_Eifel Grand Prix,circuit_Emilia Romagna Grand Prix,circuit_French Grand Prix,circuit_Hungarian Grand Prix,circuit_Italian Grand Prix,circuit_Japanese Grand Prix,circuit_Las Vegas Grand Prix,circuit_Mexico City Grand Prix,circuit_Miami Grand Prix,circuit_Monaco Grand Prix,circuit_Portuguese Grand Prix,circuit_Qatar Grand Prix,circuit_Russian Grand Prix,circuit_Sakhir Grand Prix,circuit_Saudi Arabian Grand Prix,circuit_Singapore Grand Prix,circuit_Spanish Grand Prix,circuit_Styrian Grand Prix,circuit_São Paulo Grand Prix,circuit_Turkish Grand Prix,circuit_Tuscan Grand Prix,circuit_United States Grand Prix
,2026,1,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026,1,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
